Date,Close,Volume,movAvg50,movAvg100,movAvg200
19-Aug-12,41.9,1478,40.564,40.689,37.9745
20-Aug-12,41.4,1921,40.56,40.738,37.9835
21-Aug-12,41.6,9701,40.552,40.79,37.9945
22-Aug-12,41.3,9516,40.558,40.839,38.008
23-Aug-12,42.4,8011,40.592,40.883,38.0255
24-Aug-12,42.4,7749,40.628,40.911,38.0375
25-Aug-12,42.5,6462,40.662,40.944,38.062
26-Aug-12,43.3,7068,40.706,40.981,38.1155
27-Aug-12,44.1,8403,40.764,41.013,38.1715
28-Aug-12,43.7,3530,40.824,41.053,38.2295
29-Aug-12,43,20101,40.86,41.089,38.2965
30-Aug-12,43.4,30758,40.894,41.147,38.349
31-Aug-12,43,20069,40.918,41.197,38.401
1-Sep-12,42.1,32822,40.922,41.224,38.4655
2-Sep-12,42.1,6747,40.918,41.259,38.524
3-Sep-12,42.1,8186,40.93,41.295,38.5905
4-Sep-12,41.6,18783,40.934,41.324,38.6505
5-Sep-12,41.5,20584,40.932,41.354,38.7155
6-Sep-12,40.3,27568,40.918,41.369,38.7695
7-Sep-12,41.8,21262,40.962,41.399,38.8335
8-Sep-12,42.4,43628,40.996,41.435,38.8965
9-Sep-12,42.7,26095,41.082,41.474,38.9625
10-Sep-12,41.8,17849,41.15,41.477,39.016
11-Sep-12,39.7,49796,41.186,41.451,39.063
12-Sep-12,38.8,24787,41.154,41.418,39.104
13-Sep-12,36.7,35632,41.084,41.362,39.131
