Date, Obama, ObamaCare, ObamaAbortion, ObamaEconomy, ObamaHealthcare, Romney, RomneyAbortion, RomneyEconomy, RomneyHealthcare
13-Jul-12,140998,64167,7477,8329,6367,281502,8714,4287,3656
14-Jul-12,132296,66188,7464,8129,6301,277030,8195,4223,3571
15-Jul-12,132106,65276,7458,8110,6217,272666,8577,3887,3611
16-Jul-12,130144,63320,7398,7839,6193,268423,8646,3889,3599
17-Jul-12,132919,62506,7362,7728,6199,264467,8531,3889,3580
18-Jul-12,119510,62707,7339,7663,6184,259556,8609,3836,3592
19-Jul-12,120229,61973,7316,7261,6162,254486,8598,3833,3561
20-Jul-12,122260,61413,7313,7272,6029,250913,8592,3809,3563
21-Jul-12,122288,61056,7294,7202,6118,249044,8576,3529,3543
22-Jul-12,119877,59809,7279,6824,6081,247787,8562,3766,3519
23-Jul-12,110399,60214,7264,7007,6029,247001,8466,3728,3512
24-Jul-12,112463,59681,7242,6692,6030,241788,8417,3584,3502
25-Jul-12,114757,57955,7215,6503,5957,238216,8484,3434,3486
26-Jul-12,113888,58217,7166,6669,5918,235680,8377,3388,3458
27-Jul-12,112954,57600,7134,6329,5935,229053,8121,3383,3457
28-Jul-12,109392,57009,7076,6560,5865,226718,8341,3575,3444
29-Jul-12,112355,54044,7049,6425,5882,219212,8331,3518,3430
30-Jul-12,110748,56018,7026,6446,5825,219319,8318,3499,3389
31-Jul-12,101438,53672,6997,7190,5771,214950,8309,3982,3291
1-Aug-12,101123,54548,6964,9326,5761,209742,8278,4871,3230
2-Aug-12,105806,53685,6946,11589,5719,207013,8247,6438,3218
3-Aug-12,102148,53137,6910,13238,5712,201514,8352,7472,3183
4-Aug-12,101349,52700,6678,14733,5519,199421,8135,8342,3163
5-Aug-12,96589,52384,6875,17015,5636,197979,8341,9535,3124
6-Aug-12,94832,51990,6830,17774,5613,194097,8230,9984,3140
7-Aug-12,96775,51430,6494,20191,5587,189816,8213,11199,3126
8-Aug-12,95446,50722,6754,21292,5528,185811,8292,12054,3079
9-Aug-12,91511,49888,6730,21981,5481,181395,8268,12487,2999
10-Aug-12,88556,46917,6686,22401,5421,176709,8154,12731,2939
11-Aug-12,88971,48407,6653,23858,5396,165212,8224,13164,2868
12-Aug-12,81324,47729,6613,24030,5358,160753,8100,13405,2709
13-Aug-12,83311,46909,6589,23782,5394,155607,8156,13026,2831
14-Aug-12,629424,46147,6547,25352,5326,471412,8103,13908,2764
15-Aug-12,617700,44683,6460,25008,5259,461119,8037,13700,2560
16-Aug-12,605783,43382,6398,24717,5179,451085,7985,13673,2617
17-Aug-12,594875,40260,6368,24216,5092,441947,7851,13453,2541
18-Aug-12,586440,41325,6313,23912,5029,428675,7836,13166,2503
19-Aug-12,577873,40481,6274,23667,4964,430842,7697,13182,2455
20-Aug-12,568303,39238,6145,23314,4902,418279,7359,12685,2423
21-Aug-12,555910,38109,5982,22896,4792,417401,6935,12512,2408
22-Aug-12,544704,37051,5793,22463,4727,408870,6387,12593,2358
23-Aug-12,532373,36001,5513,22008,4621,393732,5755,11972,2305
24-Aug-12,519550,34709,5134,21247,4517,383831,4659,11624,2224
25-Aug-12,508820,33780,4810,20732,4456,373895,4366,11191,2181
26-Aug-12,497575,32948,4437,19986,4400,365461,3988,10911,2099
27-Aug-12,485805,31825,4110,19665,4324,354281,3542,10543,2016
28-Aug-12,472951,29315,3814,19041,4132,341869,2970,10063,1952
29-Aug-12,453783,29230,3432,18194,4194,308302,2561,9562,1851
30-Aug-12,432535,26717,3148,17227,4077,289120,2296,8791,1775
31-Aug-12,402238,23709,2968,16072,3886,239263,1923,7862,1577
1-Sep-12,376398,23287,2855,15577,3808,225874,1789,7462,1444
2-Sep-12,374750,22141,2753,15055,3372,217124,1695,7292,1479
3-Sep-12,356363,21806,2546,14366,2991,208677,1582,7047,1441
4-Sep-12,334547,19554,2343,12889,2748,193611,1441,5678,1372
5-Sep-12,268168,16371,1840,10921,2112,168644,1100,4719,1219
6-Sep-12,453172,13510,1485,8758,1781,279876,948,4083,1129
