Date,Open,Low,High,Close,Volume,movAvg50,movAvg100,movAvg200
23-Apr-11,58.3,58.3,58.3,58.3,9,60.748,60.834,NaN
24-Apr-11,58.2,58.2,58.3,58.2,62,60.69,60.827,NaN
25-Apr-11,58.2,58.2,59.9,59,371,60.648,60.828,NaN
26-Apr-11,58.5,58.5,59.4,59,225,60.606,60.829,NaN
27-Apr-11,59.7,58.9,59.7,58.9,35,60.562,60.829,NaN
28-Apr-11,59.5,59.5,59.5,59.5,50,60.496,60.835,NaN
29-Apr-11,59.7,59.7,59.7,59.7,50,60.436,60.843,NaN
30-Apr-11,59,58.9,59,58.9,20,60.398,60.866,NaN
1-May-11,58.9,58.9,59.4,59.4,35,60.346,60.861,NaN
2-May-11,59.5,58.9,69.9,69.9,1737,60.504,60.961,NaN
3-May-11,64,60,65.5,62.4,742,60.512,60.986,NaN
4-May-11,60,60,62.5,61.9,169,60.516,60.984,NaN
5-May-11,61.8,60.5,61.9,60.5,15,60.486,60.968,NaN
6-May-11,60.9,60.9,62,62,64,60.466,60.968,NaN
7-May-11,60.5,60.1,60.9,60.1,141,60.408,60.949,NaN
8-May-11,60.1,60,60.1,60,191,60.348,60.929,NaN
9-May-11,59.9,59.9,59.9,59.9,1,60.286,60.906,NaN
10-May-11,59.7,58.9,60,58.9,68,60.242,60.873,NaN
11-May-11,59.8,58.2,60.6,58.2,193,60.184,60.833,NaN
12-May-11,58.5,58.5,59.4,58.5,307,60.134,60.796,NaN
13-May-11,58.7,58.7,59.1,59.1,3,60.096,60.787,NaN
14-May-11,59,58.6,59.3,58.6,159,60.048,60.773,NaN
15-May-11,59.2,58.6,59.4,58.9,54,60.01,60.762,NaN
16-May-11,58.9,58.6,60,59.9,225,59.992,60.751,NaN
18-May-11,60.1,58.7,60.7,58.7,112,59.95,60.728,NaN
19-May-11,58.7,58.7,60.1,59.4,106,59.878,60.712,NaN
20-May-11,59.9,59.8,60.4,60.3,108,59.804,60.705,NaN
21-May-11,60.4,60.1,60.5,60.1,119,59.726,60.696,NaN
22-May-11,60.1,60.1,60.5,60.5,140,59.72,60.703,NaN
23-May-11,60.5,59.9,61.9,60.3,657,59.71,60.708,NaN
24-May-11,62.6,61.1,62.6,61.1,67,59.742,60.725,NaN
25-May-11,61.9,61.2,63,62.1,269,59.796,60.752,NaN
26-May-11,62,61,62.5,61,262,59.818,60.768,NaN
27-May-11,60,59.9,62.3,60.6,763,59.834,60.78,NaN
28-May-11,60.8,60.8,61.9,60.9,132,59.87,60.789,NaN
29-May-11,61.9,60.8,61.9,60.9,22,59.906,60.798,NaN
30-May-11,61.8,61.2,61.8,61.5,21,59.954,60.813,NaN
31-May-11,62,61.5,62.4,62.4,203,60.014,60.837,NaN
1-Jun-11,62.4,61.3,62.4,61.3,173,60.05,60.85,NaN
2-Jun-11,61.8,60.2,62.1,61.6,345,60.092,60.866,NaN
3-Jun-11,61,61,62.1,62,421,60.134,60.886,NaN
4-Jun-11,61,60.8,61.3,61,150,60.17,60.896,NaN
5-Jun-11,61,60.3,61.3,61.3,77,60.204,60.861,NaN
6-Jun-11,61,60.8,61.3,61.3,100,60.232,60.836,NaN
7-Jun-11,61.3,61,61.4,61.4,86,60.28,60.812,NaN
8-Jun-11,61,60.1,61,60.5,336,60.308,60.779,NaN
9-Jun-11,60.9,60.5,60.9,60.9,560,60.348,60.75,NaN
10-Jun-11,60.9,60.9,61.3,61.3,12,60.394,60.728,NaN
11-Jun-11,61.2,61.2,61.3,61.3,25,60.44,60.705,NaN
12-Jun-11,61.3,61.3,61.4,61.3,52,60.494,60.678,NaN
13-Jun-11,61.2,60.9,61.3,60.9,45,60.546,60.647,NaN
14-Jun-11,61,60.9,61.1,61,154,60.602,60.646,NaN
15-Jun-11,60.9,60.5,61.3,60.9,132,60.64,60.644,NaN
16-Jun-11,61,60.6,61.4,60.6,181,60.672,60.639,NaN
17-Jun-11,60.6,59.9,60.7,60.3,525,60.7,60.631,NaN
18-Jun-11,60.4,60.1,60.4,60.3,86,60.716,60.606,NaN
19-Jun-11,60.1,60,60.2,60.2,26,60.726,60.581,NaN
20-Jun-11,60.2,60,60.2,60.1,19,60.75,60.574,NaN
21-Jun-11,59.2,59.2,60.3,60.2,254,60.766,60.556,NaN
22-Jun-11,60.2,59.1,60.2,59.9,99,60.566,60.535,NaN
23-Jun-11,59.8,58.1,59.8,58.2,620,60.482,60.497,NaN
24-Jun-11,58.3,57.7,58.4,57.7,3,60.398,60.457,59.4725
25-Jun-11,58,57.7,58.4,58.2,55,60.352,60.419,59.513
26-Jun-11,57.8,57.6,58,57.6,118,60.264,60.365,59.5505
27-Jun-11,57.5,55.9,57.6,56,236,60.182,60.295,59.5805
28-Jun-11,56.4,56.4,57,57,37,60.122,60.235,59.6155
29-Jun-11,56.5,56.2,57,57,125,60.064,60.175,59.6505
30-Jun-11,56.9,56.8,57.5,57.4,109,60.034,60.138,59.6875
1-Jul-11,57,56.9,57.4,56.9,263,60.008,60.096,59.722
2-Jul-11,57.3,56.9,57.4,57,82,59.978,60.056,59.757
3-Jul-11,57,56.9,57.5,56.9,71,59.934,60.015,59.7915
4-Jul-11,57.4,57.4,58,58,76,59.922,59.985,59.8065
5-Jul-11,58,57.9,58,57.9,50,59.902,59.956,59.821
6-Jul-11,57.4,57.4,58,58,21,59.864,59.928,59.836
7-Jul-11,58,57.4,58,57.4,22,59.838,59.894,59.848
8-Jul-11,57.9,57.9,58.5,58.5,93,59.82,59.849,59.8655
9-Jul-11,58.4,57.9,58.5,58.5,22,59.784,59.794,59.883
10-Jul-11,57.9,57.9,58,57.9,11,59.74,59.733,59.8975
11-Jul-11,57.9,57.9,57.9,57.9,2,59.688,59.704,59.912
12-Jul-11,58,57,58.3,58.3,108,59.648,59.679,59.9285
13-Jul-11,58.1,58.1,58.5,58.5,4,59.596,59.669,59.946
14-Jul-11,58.4,57.4,58.4,58,76,59.514,59.655,59.961
15-Jul-11,58,57.4,58,57.4,152,59.442,59.63,59.973
16-Jul-11,56.7,56.7,57.4,57.4,108,59.378,59.606,59.985
17-Jul-11,57.3,56.9,57.4,56.9,134,59.298,59.584,59.9945
18-Jul-11,57,56.6,57,56.6,156,59.212,59.559,60.0025
19-Jul-11,56.6,56.6,57,57,29,59.122,59.538,60.0125
20-Jul-11,56.9,56.9,57,57,49,59.014,59.514,60.0225
21-Jul-11,57,55,57.2,56.4,383,58.916,59.483,60.0295
22-Jul-11,56.4,55.9,57.4,56.2,365,58.808,59.45,60.0355
